iter	Logloss
0	0.5841538704
1	0.5108272696
2	0.4550804955
3	0.4076378483
4	0.3690694599
5	0.3365205773
6	0.3047729357
7	0.2845509812
8	0.2645616392
9	0.2510256408
10	0.2357499974
11	0.2222061225
12	0.2072116974
13	0.1982828986
14	0.1898392956
15	0.1825305892
16	0.1738352015
17	0.1673283271
18	0.1618581074
19	0.1559015259
20	0.151975104
21	0.1485630375
22	0.1453847782
23	0.1419392339
24	0.1386015919
25	0.133711651
26	0.131619749
27	0.1283489135
28	0.1260993053
29	0.1228765728
30	0.1208317892
31	0.1179430681
32	0.1149194934
33	0.112670598
34	0.1101835283
35	0.1085414317
36	0.1060383982
37	0.1048738129
38	0.1025749474
39	0.1009520189
40	0.09981453283
41	0.09863516898
42	0.09642888845
43	0.09553031124
44	0.0938938759
45	0.09125926008
46	0.09043104856
47	0.08904406026
48	0.08805946365
49	0.08722370226
50	0.08589314363
51	0.08494811184
52	0.08399843714
53	0.08332888842
54	0.08248058454
55	0.08150881683
56	0.08031572095
57	0.07980924714
58	0.07863524947
59	0.07740792205
60	0.07652582492
61	0.0755034353
62	0.07494132184
63	0.07423820173
64	0.07339021848
65	0.07274239962
66	0.07160643107
67	0.07040332233
68	0.06975686273
69	0.06889991603
70	0.06866582631
71	0.06787815955
72	0.06727842335
73	0.06674630938
74	0.06581670989
75	0.06445298162
76	0.0642348568
77	0.06367319846
78	0.06340619316
79	0.06260875206
80	0.06170899059
81	0.0608398273
82	0.06008822377
83	0.05911674846
84	0.05878507123
85	0.05817229335
86	0.05775463975
87	0.05710023575
88	0.05674151732
89	0.05623281951
90	0.05604110912
91	0.05549246197
92	0.05498656827
93	0.05420454521
94	0.05363341091
95	0.05326209863
96	0.05233069001
97	0.05129841186
98	0.05080337488
99	0.05025896906
100	0.05011749248
101	0.04955972992
102	0.04894675316
103	0.04849572926
104	0.04811305622
105	0.04773949639
106	0.04710146994
107	0.0460176868
108	0.04553892105
109	0.04507483966
110	0.04477594101
111	0.04441334163
112	0.04384715465
113	0.04345834892
114	0.0428644154
115	0.04252682077
116	0.04215956174
117	0.04153094014
118	0.0410980097
119	0.04083807154
120	0.04078831533
121	0.04032511271
122	0.04003653918
123	0.03958841717
124	0.03924863736
125	0.03871680102
126	0.03840475733
127	0.03813941106
128	0.03777120689
129	0.03771773913
130	0.03736565746
131	0.03706767603
132	0.03671977045
133	0.03635835539
134	0.03591235112
135	0.03553646473
136	0.03517202438
137	0.034827055
138	0.03453579998
139	0.03425506074
140	0.03377703653
141	0.03349718903
142	0.03312227345
143	0.03293407286
144	0.03281964802
145	0.03257689929
146	0.03252450086
